feature,family,target,target_col,horizon,n_days,mean_ic,std_ic,t_stat,hit_rate,abs_mean_ic,abs_t_stat,preferred_direction
sector_rs_above_ma20,sector_,sector_excess,fwd_sector_excess_5,5,4095,-0.007506046668208781,0.13312284568366006,-3.6081586126664713,0.49352869352869355,0.007506046668208781,3.6081586126664713,low_is_good
sent_z_sent_premarket,sent_z_,sector_excess,fwd_sector_excess_5,5,4099,-0.005155828377310734,0.09322155816301826,-3.5409602699401703,0.480848987557941,0.005155828377310734,3.5409602699401703,low_is_good
sent_decay_1d,sent_,sector_excess,fwd_sector_excess_5,5,971,-0.009687994913854676,0.08678132177288642,-3.478702237027909,0.45314109165808447,0.009687994913854676,3.478702237027909,low_is_good
ret_20d,ret_,sector_excess,fwd_sector_excess_5,5,4079,-0.007140048080223461,0.1319362213813759,-3.4563200214161025,0.49718068153959305,0.007140048080223461,3.4563200214161025,low_is_good
xs_rank_market_ret_20d,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4079,-0.007140048080223461,0.1319362213813759,-3.4563200214161025,0.49718068153959305,0.007140048080223461,3.4563200214161025,low_is_good
ret_vs_spy_20d,ret_,sector_excess,fwd_sector_excess_5,5,4079,-0.007084619022786491,0.13187010881432198,-3.431207551345902,0.49791615592056876,0.007084619022786491,3.431207551345902,low_is_good
ret_vs_qqq_20d,ret_,sector_excess,fwd_sector_excess_5,5,4079,-0.007054805715308437,0.13184111909313176,-3.4175197258491914,0.4976709977935769,0.007054805715308437,3.4175197258491914,low_is_good
rsi_14,rsi_,sector_excess,fwd_sector_excess_5,5,4085,-0.006332755305007651,0.12430066347185094,-3.2562316337017436,0.49228886168910646,0.006332755305007651,3.2562316337017436,low_is_good
xs_rank_market_rsi_14,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4085,-0.006332755305007651,0.12430066347185094,-3.2562316337017436,0.49228886168910646,0.006332755305007651,3.2562316337017436,low_is_good
xs_rank_market_factor_idio_vol_252_spy,xs_rank_market_,sector_excess,fwd_sector_excess_5,5,4099,0.0070244983526727275,0.14161678303571623,3.1757005877116233,0.5279336423517931,0.0070244983526727275,3.1757005877116233,high_is_good
sent_neg_decay,sent_,sector_excess,fwd_sector_excess_5,5,971,0.008332605498093329,0.0824629475504045,3.148702157510585,0.5468589083419155,0.008332605498093329,3.148702157510585,high_is_good
xs_rank_sector_factor_liquidity_dollar_vol_20d,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,-0.011112752279578957,0.09918045080909989,-7.173556356592254,0.4581605269577946,0.011112752279578957,7.173556356592254,low_is_good
xs_rank_sector_ret_5d,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,-0.013574141237853232,0.12141724794203922,-7.157657908208901,0.46181995608685045,0.013574141237853232,7.157657908208901,low_is_good
sent_z_sent_pos_decay,sent_z_,xs_excess,fwd_excess_5,5,4099,0.013621463337563689,0.12349946553109384,7.061511112336754,0.5489143693583801,0.013621463337563689,7.061511112336754,high_is_good
xs_rank_sector_factor_illiquidity_amihud_20d,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,0.011730706006381427,0.11033846742822512,6.8066929875991296,0.548670407416443,0.011730706006381427,6.8066929875991296,high_is_good
sent_z_headline_vol_spike,sent_z_,xs_excess,fwd_excess_5,5,4099,0.011912460142367522,0.11779134205396677,6.474810312821327,0.5415955111002684,0.011912460142367522,6.474810312821327,high_is_good
xs_rank_sector_factor_mom_12_1,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,0.01580919545578328,0.16384787282908633,6.177431246993119,0.5576969992681142,0.01580919545578328,6.177431246993119,high_is_good
xs_rank_sector_factor_resid_mom_sector_12_1,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,0.015762600991405112,0.16405181139380562,6.151567746894045,0.5584288850939253,0.015762600991405112,6.151567746894045,high_is_good
sent_z_headline_volume,sent_z_,xs_excess,fwd_excess_5,5,4099,0.010628601730371954,0.11182820242505007,6.0850443648740615,0.5389119297389607,0.010628601730371954,6.0850443648740615,high_is_good
sent_z_sentiment_disagreement,sent_z_,xs_excess,fwd_excess_5,5,4099,0.01055846953244277,0.11284092062813948,5.990641206643798,0.5376921200292755,0.01055846953244277,5.990641206643798,high_is_good
sent_z_sent_neg_decay,sent_z_,xs_excess,fwd_excess_5,5,4099,0.009047728297590337,0.10585918178872697,5.472048985976749,0.5350085386679678,0.009047728297590337,5.472048985976749,high_is_good
sent_z_sentiment_7d,sent_z_,xs_excess,fwd_excess_5,5,4099,0.00913651709021681,0.1091524064388269,5.359031566799961,0.5430592827518907,0.00913651709021681,5.359031566799961,high_is_good
sent_z_sent_pos,sent_z_,xs_excess,fwd_excess_5,5,4099,0.010707687743750232,0.12919186783960931,5.306393835461958,0.531593071480849,0.010707687743750232,5.306393835461958,high_is_good
sent_z_sent_decay_3d,sent_z_,xs_excess,fwd_excess_5,5,4099,0.008922221972049888,0.10986871957949348,5.199216707894297,0.5374481580873384,0.008922221972049888,5.199216707894297,high_is_good
sent_z_sentiment_3d,sent_z_,xs_excess,fwd_excess_5,5,4099,0.008816349461137482,0.11103675176546687,5.083478685270987,0.5393998536228348,0.008816349461137482,5.083478685270987,high_is_good
sent_z_sent_decay_1d,sent_z_,xs_excess,fwd_excess_5,5,4099,0.008623523786745005,0.10986454482727775,5.02534826011266,0.5381800439131496,0.008623523786745005,5.02534826011266,high_is_good
xs_rank_market_factor_idio_vol_252_spy,xs_rank_market_,xs_excess,fwd_excess_5,5,4099,0.016471473207583336,0.21091467797325564,4.999937770619913,0.5496462551841913,0.016471473207583336,4.999937770619913,high_is_good
xs_rank_sector_factor_idio_vol_252_spy,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,0.010873473763085369,0.13949233525878238,4.99064783696171,0.5457428641131984,0.010873473763085369,4.99064783696171,high_is_good
ret_vs_sector_1d,ret_,xs_excess,fwd_excess_5,5,4098,-0.01000581053866064,0.1314844592563644,-4.871512571194091,0.4751098096632504,0.01000581053866064,4.871512571194091,low_is_good
factor_idio_vol_252_spy,factor_,xs_excess,fwd_excess_5,5,3940,0.01670645609238681,0.2161132351985834,4.852338389247914,0.5482233502538071,0.01670645609238681,4.852338389247914,high_is_good
sector_rs_slope_5d,sector_,xs_excess,fwd_excess_5,5,4094,-0.010114071539934464,0.13366469238465412,-4.841536798887065,0.4767953102100635,0.010114071539934464,4.841536798887065,low_is_good
xs_rank_sector_ret_10d,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,-0.009473976074924555,0.12544488509579826,-4.835242776165865,0.4847523786289339,0.009473976074924555,4.835242776165865,low_is_good
ret_vs_sector_5d,ret_,xs_excess,fwd_excess_5,5,4094,-0.009980037294023662,0.13371060718419947,-4.775735023138801,0.4770395701025891,0.009980037294023662,4.775735023138801,low_is_good
xs_rank_market_factor_resid_mom_sector_12_1,xs_rank_market_,xs_excess,fwd_excess_5,5,4099,0.012436425753109348,0.16954914878231658,4.696117198429823,0.540131739448646,0.012436425753109348,4.696117198429823,high_is_good
factor_resid_mom_sector_12_1,factor_,xs_excess,fwd_excess_5,5,3847,0.013181136449732886,0.17466196980930376,4.680751608622979,0.5427605926696127,0.013181136449732886,4.680751608622979,high_is_good
sent_pos_decay,sent_,xs_excess,fwd_excess_5,5,971,0.013487261977846856,0.09444148067271263,4.450108715903854,0.5561277033985582,0.013487261977846856,4.450108715903854,high_is_good
roc_10,roc_,xs_excess,fwd_excess_5,5,4056,0.00805418608307155,0.11688322750604711,4.388523589444708,0.5367357001972387,0.00805418608307155,4.388523589444708,high_is_good
sent_z_sent_neg,sent_z_,xs_excess,fwd_excess_5,5,4099,0.006101089073378408,0.08948470410810064,4.3651333788403885,0.5298853378872895,0.006101089073378408,4.3651333788403885,high_is_good
dist_ma10,dist_,xs_excess,fwd_excess_5,5,4090,-0.01336854236329404,0.1980105703630734,-4.317748439416167,0.482640586797066,0.01336854236329404,4.317748439416167,low_is_good
sent_neg_decay,sent_,xs_excess,fwd_excess_5,5,971,0.012076805992121957,0.08719511220023253,4.315882015446181,0.5581874356333677,0.012076805992121957,4.315882015446181,high_is_good
dist_ma5,dist_,xs_excess,fwd_excess_5,5,4095,-0.013066553885414613,0.19411223030475294,-4.307597510317476,0.4766788766788767,0.013066553885414613,4.307597510317476,low_is_good
sent_z_news_sentiment,sent_z_,xs_excess,fwd_excess_5,5,4099,0.007334658920980085,0.10924173397182498,4.298632294383761,0.5340326909002195,0.007334658920980085,4.298632294383761,high_is_good
xs_rank_market_factor_mom_12_1,xs_rank_market_,xs_excess,fwd_excess_5,5,4099,0.01624615315127744,0.2430086436469973,4.280236643400099,0.5433032446938277,0.01624615315127744,4.280236643400099,high_is_good
factor_mom_12_1,factor_,xs_excess,fwd_excess_5,5,3847,0.017237907892333777,0.2519735430218149,4.243172681240521,0.5458799064205875,0.017237907892333777,4.243172681240521,high_is_good
xs_rank_sector_factor_beta_252_spy,xs_rank_sector_,xs_excess,fwd_excess_5,5,4099,0.011918721216332332,0.18046951430614158,4.228290050409523,0.5537936081971212,0.011918721216332332,4.228290050409523,high_is_good
ret_3d,ret_,xs_excess,fwd_excess_5,5,4096,-0.012197291839230542,0.1948636187355709,-4.006015503438134,0.480224609375,0.012197291839230542,4.006015503438134,low_is_good
ret_5d,ret_,xs_excess,fwd_excess_5,5,4094,-0.012052060915468761,0.19591694384487876,-3.936073863808683,0.4846116267708842,0.012052060915468761,3.936073863808683,low_is_good
xs_rank_market_ret_5d,xs_rank_market_,xs_excess,fwd_excess_5,5,4094,-0.012052060915468761,0.19591694384487876,-3.936073863808683,0.4846116267708842,0.012052060915468761,3.936073863808683,low_is_good
ret_vs_spy_5d,ret_,xs_excess,fwd_excess_5,5,4094,-0.012036195784763932,0.1959253474962232,-3.930723877969757,0.48485588666340984,0.012036195784763932,3.930723877969757,low_is_good
ret_vs_qqq_5d,ret_,xs_excess,fwd_excess_5,5,4094,-0.012008897207099958,0.19592685171559682,-3.921778728115099,0.4846116267708842,0.012008897207099958,3.921778728115099,low_is_good
sent_decay_3d,sent_,xs_excess,fwd_excess_5,5,971,-0.011082413782545333,0.08844011925220545,-3.9047627959192353,0.4593202883625129,0.011082413782545333,3.9047627959192353,low_is_good
uptick_ratio,uptick_,xs_excess,fwd_excess_5,5,4095,-0.008776515761597992,0.1554684673039781,-3.612490994262432,0.4908424908424908,0.008776515761597992,3.612490994262432,low_is_good
hvol_20d,hvol_,xs_excess,fwd_excess_5,5,4079,0.014077226412577852,0.25323829360719435,3.5502960551654987,0.5307673449374847,0.014077226412577852,3.5502960551654987,high_is_good
xs_rank_market_hvol_20d,xs_rank_market_,xs_excess,fwd_excess_5,5,4079,0.014077226412577852,0.25323829360719435,3.5502960551654987,0.5307673449374847,0.014077226412577852,3.5502960551654987,high_is_good
ret_1d,ret_,xs_excess,fwd_excess_5,5,4098,-0.010714211907078424,0.1934548456809692,-3.545411068763885,0.4785261102977062,0.010714211907078424,3.545411068763885,low_is_good
sent_decay_1d,sent_,xs_excess,fwd_excess_5,5,971,-0.009947368352037,0.08760505864458953,-3.538250938024065,0.46138002059732236,0.009947368352037,3.538250938024065,low_is_good
sector_ratio_z20,sector_,xs_excess,fwd_excess_5,5,4090,-0.00727424127490777,0.1353154830654238,-3.4379682652224055,0.4904645476772616,0.00727424127490777,3.4379682652224055,low_is_good
vol_pct_vs_20d,vol_,xs_excess,fwd_excess_5,5,4095,0.005933978485612751,0.11159341157143726,3.4027838713338805,0.5267399267399268,0.005933978485612751,3.4027838713338805,high_is_good
macd_hist,macd_,xs_excess,fwd_excess_5,5,4098,-0.009211936767235867,0.1742139203302773,-3.3849641345021113,0.48413860419716936,0.009211936767235867,3.3849641345021113,low_is_good
vol_ratio,vol_,xs_excess,fwd_excess_5,5,4080,0.005921357263867394,0.11177178593349958,3.383912745363235,0.5259803921568628,0.005921357263867394,3.383912745363235,high_is_good
factor_beta_252_spy,factor_,xs_excess,fwd_excess_5,5,4019,0.01762922259472631,0.33438731008377964,3.342276510876805,0.5327195819855686,0.01762922259472631,3.342276510876805,high_is_good
vol_ratio_5,vol_,xs_excess,fwd_excess_5,5,4095,0.005721721100133802,0.11023818572265769,3.321403054064876,0.518925518925519,0.005721721100133802,3.321403054064876,high_is_good
sent_z_sent_premarket,sent_z_,xs_excess,fwd_excess_5,5,4099,0.005322130140452588,0.10276613915025001,3.3156937333629437,0.5262259087582337,0.005322130140452588,3.3156937333629437,high_is_good
xs_rank_market_factor_beta_252_spy,xs_rank_market_,xs_excess,fwd_excess_5,5,4099,0.01695753454829152,0.32772018811161024,3.3128248424832547,0.5318370334227861,0.01695753454829152,3.3128248424832547,high_is_good
atr_norm,atr_,xs_excess,fwd_excess_5,5,4086,0.013637182464268644,0.26843042896336206,3.247447113701171,0.5281448849730788,0.013637182464268644,3.247447113701171,high_is_good
drawdown_20d,drawdown_,xs_excess,fwd_excess_5,5,4095,-0.010620850072040649,0.20944578462230204,-3.2449992984103697,0.48595848595848595,0.010620850072040649,3.2449992984103697,low_is_good
xs_rank_market_factor_illiquidity_amihud_20d,xs_rank_market_,xs_excess,fwd_excess_5,5,4099,0.008069489719773957,0.16042804006964115,3.220362449661256,0.5228104415711149,0.008069489719773957,3.220362449661256,high_is_good
vol_trend_20_60,vol_,xs_excess,fwd_excess_5,5,4090,-0.005679467657200225,0.11409179477673052,-3.1835734389066412,0.4907090464547677,0.005679467657200225,3.1835734389066412,low_is_good
factor_illiquidity_amihud_20d,factor_,xs_excess,fwd_excess_5,5,4094,0.008015759617935632,0.1624247485445656,3.1576675266980327,0.5217391304347826,0.008015759617935632,3.1576675266980327,high_is_good
rsi_7,rsi_,xs_excess,fwd_excess_5,5,4092,-0.009134543209566841,0.18522330443053683,-3.154706925288828,0.4880254154447703,0.009134543209566841,3.154706925288828,low_is_good
vwap_dist,vwap_,xs_excess,fwd_excess_5,5,4080,-0.009765852840566363,0.20176343268126506,-3.091703226133357,0.49558823529411766,0.009765852840566363,3.091703226133357,low_is_good
hl_range_5d,hl_,xs_excess,fwd_excess_5,5,4095,0.011550668260328426,0.23977344112934454,3.0827122473420365,0.5304029304029304,0.011550668260328426,3.0827122473420365,high_is_good
