journaled_at,run_date,shadow_name,shadow_config_signature,paper_ready,gates_all_pass,reason,current_regime,latest_factor_date,predicted_at,gross_exposure,core_gross,overlay_gross,raw_overlay_gross,target_spy_weight,target_qqq_weight,target_tqqq_weight,target_cash_weight,overlay_tickers,overlay_weights_json,raw_overlay_weights_json,sticky_holdings_source,sticky_holdings_used,sticky_held_tickers,live_config_hash,walkforward_approval_pass,nested_cost_stress_approval_pass,medium_risk_review_pass,feature_health_gate_pass,source_mean_oos_alpha_vs_qqq_pct,source_mean_oos_sharpe,source_worst_oos_drawdown_pct,source_worst_oos_turnover_pct,backtest_sharpe,backtest_max_drawdown_pct,backtest_total_return_pct
2026-05-27T17:02:08+00:00,2026-05-27,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-05-26,2026-05-28T01:02+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,INTC,CAT","{""CAT"": 0.027953, ""INTC"": 0.172047, ""MU"": 0.2}","{""CAT"": 0.034941, ""INTC"": 0.215059, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,FCX,INTC,MU",8d653ba34a237ded,True,True,True,True,15.82,1.667,-27.56,533.29,1.434,-27.19,13774.19
2026-05-28T17:37:04+00:00,2026-05-28,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-05-27,2026-05-29T01:37+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,INTC,CAT","{""CAT"": 0.02747, ""INTC"": 0.17253, ""MU"": 0.2}","{""CAT"": 0.034338, ""INTC"": 0.215662, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,FCX,INTC,MU",2fb992586757394b,True,True,True,True,15.82,1.667,-27.56,533.29,1.291,-27.53,6684.19
2026-05-29T17:32:08+00:00,2026-05-29,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-05-28,2026-05-30T01:32+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,INTC,CAT","{""CAT"": 0.026509, ""INTC"": 0.173491, ""MU"": 0.2}","{""CAT"": 0.033137, ""INTC"": 0.216863, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,INTC,MU",0814defcace66c07,True,True,True,True,15.82,1.667,-27.56,533.29,1.396,-27.53,9937.02
2026-06-01T19:20:07+00:00,2026-06-01,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-05-29,2026-06-02T03:20+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,CAT,INTC","{""CAT"": 0.034717, ""INTC"": 0.165283, ""MU"": 0.2}","{""CAT"": 0.043396, ""INTC"": 0.206604, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,MU",e999522d051fb7f5,True,True,True,True,15.82,1.667,-27.56,533.29,1.361,-27.53,9024.88
2026-06-02T18:03:37+00:00,2026-06-02,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-06-01,2026-06-03T02:03+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,CAT,INTC","{""CAT"": 0.035235, ""INTC"": 0.164765, ""MU"": 0.2}","{""CAT"": 0.044043, ""INTC"": 0.205957, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,MU",830cdde57d04fc96,True,True,True,True,15.82,1.667,-27.56,533.29,1.361,-27.53,9029.44
2026-06-03T18:20:54+00:00,2026-06-03,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-06-02,2026-06-04T02:20+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,INTC,CAT","{""CAT"": 0.027688, ""INTC"": 0.172312, ""MU"": 0.2}","{""CAT"": 0.03461, ""INTC"": 0.21539, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,INTC,MU",9bfd00a068b4a818,True,True,True,True,15.82,1.667,-27.56,533.29,1.326,-27.53,7432.72
2026-06-04T17:25:41+00:00,2026-06-04,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-06-03,2026-06-05T01:25+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,0.0,"MU,INTC,CAT","{""CAT"": 0.031277, ""INTC"": 0.168723, ""MU"": 0.2}","{""CAT"": 0.039096, ""INTC"": 0.210904, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,INTC,MU",99a8daa5f425ca90,True,True,True,True,15.82,1.667,-27.56,533.29,1.327,-27.53,7471.67
2026-06-05T17:06:38+00:00,2026-06-05,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-06-04,2026-06-06T01:06+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,-0.0,"MU,INTC,CAT","{""CAT"": 0.030096, ""INTC"": 0.169904, ""MU"": 0.2}","{""CAT"": 0.03762, ""INTC"": 0.21238, ""MU"": 0.25}",alpaca_daily_status,True,"CAT,INTC,MU",19a022e9177d3a30,True,True,True,True,15.82,1.667,-27.56,533.29,1.327,-27.53,7471.67
2026-06-08T17:21:31+00:00,2026-06-08,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-06-05,2026-06-09T01:21+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,-0.0,"MU,INTC,CAT","{""CAT"": 0.027703, ""INTC"": 0.174467, ""MU"": 0.197831}","{""CAT"": 0.034628, ""INTC"": 0.218083, ""MU"": 0.247288}",alpaca_daily_status,True,"CAT,INTC,MU",6ff9fdb3121020e9,True,True,True,True,15.82,1.667,-27.56,533.29,1.326,-27.53,7433.59
2026-06-09T16:29:55+00:00,2026-06-09,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",True,True,nested walk-forward live gates pass,risk_on,2026-06-08,2026-06-10T00:29+08:00,1.0,0.6,0.4,0.5,0.0,0.6,0.0,-0.0,"CAT,MU,INTC","{""CAT"": 0.168636, ""INTC"": 0.106557, ""MU"": 0.124807}","{""CAT"": 0.210795, ""INTC"": 0.133196, ""MU"": 0.156009}",alpaca_daily_status,True,CAT,4e7b070e6a30d6e3,True,True,True,True,15.82,1.667,-27.56,533.29,1.344,-27.53,8226.58
